InputID,TargetID,Distance
n150980858,"1",59903.5348174631
n150980858,"0",59903.5348174631
n150981398,"0",56510.0774403398
n150981398,"1",56510.0774403398
n151325639,"0",180088.598972935
n151325639,"1",180088.598972935
n151348637,"1",81449.2665989182
n151348637,"0",81449.2665989182
n151353910,"0",158066.199817957
n151353910,"1",158066.199817957
n151370467,"0",59957.309838327
n151370467,"1",59957.309838327
n151408051,"1",56970.8206980481
n151408051,"0",56970.8206980481
n151413026,"0",346722.655921216
n151413026,"1",346722.655921216
n151422867,"0",170142.391766828
n151422867,"1",170142.391766828
n151449731,"1",162254.212151312
n151449731,"0",162254.212151312
n151463250,"1",274887.821887962
n151463250,"0",274887.821887962
n151463996,"1",286656.968093678
n151463996,"0",286656.968093678
n151520820,"0",86647.113340107
n151520820,"1",86647.113340107
n151523232,"1",134006.394017977
n151523232,"0",134006.394017977
n151548460,"0",26104.9426388713
n151548460,"1",26104.9426388713
n151567277,"0",81176.3158306514
n151567277,"1",81176.3158306514
n151660911,"1",161827.253500785
n151660911,"0",161827.253500785
n151664043,"0",123363.482736921
n151664043,"1",123363.482736921
n151688063,"1",123430.21907486
n151688063,"0",123430.21907486
n151789230,"0",53858.497164809
n151789230,"1",53858.497164809
n151816162,"1",136243.789454381
n151816162,"0",136243.789454381
n151839468,"1",40837.7567063122
n151839468,"0",40837.7567063122
n151862274,"0",169121.754816652
n151862274,"1",169121.754816652
n151919347,"1",21664.8017197452
n151919347,"0",21664.8017197452
n151936221,"1",125220.324906851
n151936221,"0",125220.324906851
n151955866,"1",30206.0559643524
n151955866,"0",30206.0559643524
n151963125,"0",25327.985643495
n151963125,"1",25327.985643495
n405090932,"0",15695.1468012913
n405090932,"1",15695.1468012913
n405094786,"0",155276.835598518
n405094786,"1",155276.835598518
n1810796332,"0",26084.678422618
n1810796332,"1",26084.678422618
n1826599706,"0",314104.142572664
n1826599706,"1",314104.142572664
n2316076590,"1",35474.960956836
n2316076590,"0",35474.960956836
n2656548014,"0",27878.1162625612
n2656548014,"1",27878.1162625612
n2657192573,"1",71166.2090077964
n2657192573,"0",71166.2090077964
n2681689620,"1",16206.0343490013
n2681689620,"0",16206.0343490013
n3223703794,"1",9948.66669678832
n3223703794,"0",9948.66669678832
n3223703794,"1",9948.66669678832
n3431784900,"0",10206.9998604285
n3431784900,"1",10206.9998604285
n3585103293,"1",97516.162177255
n3585103293,"0",97516.162177255
n4060117354,"0",49302.182613438
n4060117354,"1",49302.182613438
n4421370756,"0",138634.78431339
n4421370756,"1",138634.78431339
n4694000719,"0",4960.34306603859
n4694000719,"1",4960.34306603859
n4694000719,"1",4960.34306603859
n4965185236,"1",12387.5655301933
n4965185236,"0",12387.5655301933
n4965185236,"1",12387.5655301933
n5243570810,"0",62277.8753669341
n5243570810,"1",62277.8753669341
n26819236,"1",217938.159915713
n26819236,"0",217938.159915713
n35854683,"1",199566.949995264
n35854683,"0",199566.949995264
n53028726,"1",198291.242687616
n53028726,"0",198291.242687616
n55954927,"0",191138.522350236
n55954927,"1",191138.522350236
n62271664,"0",192135.903864068
n62271664,"1",192135.903864068
n62402074,"0",182758.23124293
n62402074,"1",182758.23124293
n62460029,"0",180587.069643122
n62460029,"1",180587.069643122
n62538704,"0",187917.699700039
n62538704,"1",187917.699700039
n62538717,"0",188647.832767532
n62538717,"1",188647.832767532
n65564835,"1",215000.299752965
n65564835,"0",215000.299752965
n81008084,"1",217452.061367761
n81008084,"0",217452.061367761
n81013838,"1",215848.031826392
n81013838,"0",215848.031826392
n85810970,"0",173801.532996867
n85810970,"1",173801.532996867
n85810980,"0",173554.877218308
n85810980,"1",173554.877218308
n86122435,"0",177492.877858105
n86122435,"1",177492.877858105
n86123184,"0",174383.071916138
n86123184,"1",174383.071916138
n87525294,"0",80797.7660849764
n87525294,"1",80797.7660849764
n87589841,"0",76822.244325493
n87589841,"1",76822.244325493
n87626833,"0",71059.8487584017
n87626833,"1",71059.8487584017
n88955978,"0",186169.609537995
n88955978,"1",186169.609537995
n89418986,"1",96021.3980563216
n89418986,"0",96021.3980563216
n89419882,"1",114349.330893272
n89419882,"0",114349.330893272
n89725766,"1",226148.416611682
n89725766,"0",226148.416611682
n89860669,"1",249039.84519897
n89860669,"0",249039.84519897
n89860675,"1",248931.929580154
n89860675,"0",248931.929580154
n89870462,"1",226263.125929633
n89870462,"0",226263.125929633
n89873845,"1",225688.746272765
n89873845,"0",225688.746272765
n89898022,"1",226789.787170185
n89898022,"0",226789.787170185
n89907192,"1",233185.136739041
n89907192,"0",233185.136739041
n89910797,"1",258063.257105732
n89910797,"0",258063.257105732
